observation_id,is_base_observation,true_label
0,True,1
1,True,1
2,True,0
3,True,0
4,True,1
5,True,2
6,True,1
7,True,0
8,True,2
9,True,1
10,True,0
11,True,1
12,True,0
13,True,1
14,True,2
15,True,1
16,True,0
17,True,0
18,True,2
19,True,0
20,True,2
21,True,0
22,True,2
23,True,1
24,True,0
25,True,1
26,True,2
27,True,0
28,True,1
29,True,0
30,True,2
31,True,2
32,True,1
33,True,2
34,True,0
35,True,0
36,True,1
37,True,1
38,True,0
39,True,2
40,True,1
41,True,2
42,True,0
43,True,2
44,True,0
45,True,0
46,True,2
47,True,0
48,True,0
49,True,0
50,True,0
51,True,0
52,True,2
53,True,0
54,True,2
55,True,1
56,True,2
57,True,0
58,True,0
59,True,1
60,True,1
61,True,0
62,True,1
63,True,2
64,True,2
65,True,2
66,True,1
67,True,0
68,True,2
69,True,2
70,True,1
71,True,1
72,True,0
73,True,0
74,True,2
75,True,1
76,True,1
77,True,1
78,True,2
79,True,0
80,True,1
81,True,0
82,True,1
83,True,2
84,True,1
85,True,2
86,True,1
87,True,1
88,True,2
89,True,1
90,True,0
91,True,1
92,True,0
93,True,0
94,True,0
95,True,0
96,True,0
97,True,1
98,True,0
99,True,2
100,True,0
101,True,2
102,True,0
103,True,0
104,True,2
105,True,0
106,True,0
107,True,2
108,True,0
109,True,2
110,True,0
111,True,1
112,True,0
113,True,0
114,True,2
115,True,2
116,True,2
117,True,2
118,True,2
119,True,2
120,True,1
121,True,0
122,True,1
123,True,2
124,True,1
125,True,2
126,True,2
127,True,1
128,True,0
129,True,1
130,True,0
131,True,0
132,True,0
133,True,1
134,True,2
135,True,2
136,True,2
137,True,1
138,True,1
139,True,1
140,True,0
141,True,1
142,True,1
143,True,1
144,True,1
145,True,2
146,True,1
147,True,2
148,True,2
149,True,2
150,True,1
151,True,1
152,True,1
153,True,2
154,True,1
155,True,1
156,True,2
157,True,2
158,True,0
159,True,0
160,True,1
161,True,0
162,True,1
163,True,2
164,True,1
165,True,2
166,True,0
167,True,0
168,True,1
169,True,1
170,True,1
171,True,1
172,True,2
173,True,2
174,True,1
175,True,0
176,True,1
177,True,0
178,True,0
179,True,1
180,True,0
181,True,0
182,True,1
183,True,0
184,True,0
185,True,1
186,True,1
187,True,2
188,True,2
189,True,2
190,True,1
191,True,1
192,True,2
193,True,0
194,True,1
195,True,2
196,True,2
197,True,2
198,True,1
199,True,0
200,True,2
201,True,1
202,True,0
203,True,1
204,True,0
205,True,0
206,True,2
207,True,0
208,True,0
209,True,0
210,True,1
211,True,2
212,True,0
213,True,0
214,True,0
215,True,2
216,True,2
217,True,2
218,True,0
219,True,2
220,True,2
221,True,2
222,True,2
223,True,0
224,True,1
225,True,1
226,True,1
227,True,2
228,True,1
229,True,0
230,True,2
231,True,0
232,True,1
233,True,1
234,True,2
235,True,1
236,True,1
237,True,0
238,True,1
239,True,0
240,True,0
241,True,0
242,True,2
243,True,2
244,True,1
245,True,2
246,True,0
247,True,1
248,True,2
249,True,0
250,True,1
251,True,2
252,True,2
253,True,2
254,True,0
255,True,2
256,True,0
257,True,1
258,True,1
259,True,0
260,True,1
261,True,2
262,True,1
263,True,1
264,True,1
265,True,0
266,True,2
267,True,2
268,True,0
269,True,1
270,True,2
271,True,2
272,True,2
273,True,1
274,True,0
275,True,0
276,True,0
277,True,2
278,True,2
279,True,2
280,True,0
281,True,2
282,True,1
283,True,2
284,True,0
285,True,1
286,True,0
287,True,1
288,True,0
289,True,0
290,True,1
291,True,0
292,True,2
293,True,0
294,True,1
295,True,1
296,True,0
297,True,0
298,True,2
299,True,1
300,True,2
301,True,0
302,True,2
303,True,1
304,True,0
305,True,0
306,True,1
307,True,2
308,True,2
309,True,0
310,True,2
311,True,1
312,True,1
313,True,0
314,True,0
315,True,0
316,True,2
317,True,2
318,True,1
319,True,2
320,True,1
321,True,1
322,True,1
323,True,2
324,True,2
325,True,1
326,True,2
327,True,0
328,True,0
329,True,1
330,True,0
331,True,1
332,True,2
333,True,2
334,True,0
335,True,2
336,True,0
337,True,0
338,True,2
339,True,0
340,True,1
341,True,1
342,True,2
343,True,2
344,True,0
345,True,0
346,True,1
347,True,2
348,True,2
349,True,1
350,True,1
351,True,1
352,True,1
353,True,2
354,True,0
355,True,2
356,True,0
357,True,1
358,True,0
359,True,0
360,True,2
361,True,1
362,True,1
363,True,1
364,True,0
365,True,2
366,True,1
367,True,1
368,True,1
369,True,0
370,True,0
371,True,0
372,True,0
373,True,1
374,True,1
375,True,1
376,True,0
377,True,2
378,True,0
379,True,0
380,True,2
381,True,0
382,True,0
383,True,1
384,True,1
385,True,1
386,True,0
387,True,1
388,True,2
389,True,2
390,True,0
391,True,2
392,True,1
393,True,0
394,True,2
395,True,2
396,True,2
397,True,0
398,True,2
399,True,2
400,True,0
401,True,0
402,True,1
403,True,1
404,True,0
405,True,1
406,True,2
407,True,1
408,True,1
409,True,1
410,True,2
411,True,2
412,True,2
413,True,2
414,True,0
415,True,2
416,True,1
417,True,2
418,True,1
419,True,0
420,True,0
421,True,0
422,True,2
423,True,2
424,True,1
425,True,1
426,True,0
427,True,1
428,True,2
429,True,1
430,True,1
431,True,2
432,True,0
433,True,2
434,True,2
435,True,1
436,True,1
437,True,2
438,True,2
439,True,2
440,True,2
441,True,1
442,True,2
443,True,1
444,True,1
445,True,1
446,True,1
447,True,2
448,True,2
449,True,2
450,True,0
451,True,0
452,True,2
453,True,2
454,True,2
455,True,2
456,True,0
457,True,1
458,True,0
