scenario,rauschform,rauschstufe_prozent,vorverarbeitung,verfahren,silhouette_plus_mean,silhouette_plus_std,gefundene_cluster_mittelwert,found_clusters_mean,found_clusters_std,noise_anteil_dbscan_mittelwert,noise_anteil_dbscan_std,predicted_noise_share_mean,predicted_noise_share_std,mittlerer_paarweiser_ari,std_paarweiser_ari,anzahl_vergleiche
mit_rauschen,ausreisser,10,False,dbscan,0.7295168222389228,0.001409291387184657,3.0,3.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,1.0,0.0,190
mit_rauschen,ausreisser,10,False,hierarchisch,0.5538051331832096,0.007281899583620453,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,ausreisser,10,False,kmeans,0.5697822038894155,0.0030804335387953777,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,ausreisser,10,False,rtkm,0.7112539857633665,0.08153671361060139,3.0,3.0,0.0,,,0.09090909090909091,0.0,0.9444470093360828,0.16665897199175164,190
mit_rauschen,ausreisser,20,False,dbscan,0.7231834677133542,0.0015731244152274876,3.0,3.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,190
mit_rauschen,ausreisser,20,False,hierarchisch,0.42949239940442546,0.010831788375961032,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,ausreisser,20,False,kmeans,0.4613986145843535,0.003274179416275136,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,ausreisser,20,False,rtkm,0.703759385274982,0.08649420376655746,3.0,3.0,0.0,,,0.16666666666666666,0.0,0.9443805278345649,0.16685841649630517,190
mit_rauschen,ausreisser,30,False,dbscan,0.7183123843021775,0.0013260267032872287,3.0,3.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,1.0,0.0,190
mit_rauschen,ausreisser,30,False,hierarchisch,0.3439634721088215,0.016229655869422235,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,ausreisser,30,False,kmeans,0.38652679572120335,0.0035543345839335475,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,ausreisser,30,False,rtkm,0.6877030021172729,0.09442635135629732,3.0,3.0,0.0,,,0.23076923076923078,0.0,0.894622649845521,0.2175912744498771,190
mit_rauschen,irrelevante_merkmale,10,False,dbscan,0.6486763660842787,0.0007023859428280438,3.0,3.0,0.0,5e-05,0.000223606797749979,5e-05,0.000223606797749979,0.9998502254152613,0.0004493237542160466,190
mit_rauschen,irrelevante_merkmale,10,False,hierarchisch,0.6486195058471784,0.0005666533588577034,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,10,False,kmeans,0.6486195058471784,0.0005666533588577034,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,10,False,rtkm,0.6185103394773128,0.09266093850016299,3.0,3.0,0.0,,,0.0,0.0,0.8945012189985122,0.21686309279082622,190
mit_rauschen,irrelevante_merkmale,20,False,dbscan,0.5788486187111893,0.0005711424485981487,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,20,False,hierarchisch,0.5788486187111893,0.0005711424485981487,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,20,False,kmeans,0.5788486187111893,0.0005711424485981487,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,20,False,rtkm,0.5649758844421772,0.0621047836854396,3.0,3.0,0.0,,,0.0,0.0,0.9443947759705117,0.1668156720884652,190
mit_rauschen,irrelevante_merkmale,30,False,dbscan,0.5240323057768181,0.0005701422161564313,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,30,False,hierarchisch,0.5240323057768181,0.0005701422161564313,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,30,False,kmeans,0.5240323057768181,0.0005701422161564313,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,irrelevante_merkmale,30,False,rtkm,0.5240323057768181,0.0005701422161564313,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,10,False,dbscan,0.7373704419117222,0.003447095723823366,3.0,3.0,0.0,0.05736363636363636,0.004943350241864835,0.05736363636363636,0.004943350241864835,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,10,False,hierarchisch,0.6522778219057448,0.01826455564646855,3.0,3.0,0.0,,,0.0,0.0,0.9985331047235279,0.0028610072844664127,190
mit_rauschen,zwischencluster_ausreisser,10,False,kmeans,0.6845492791639519,0.0025257629854661236,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,10,False,rtkm,0.6965697083924044,0.012817050524245173,3.0,3.0,0.0,,,0.09090909090909091,0.0,0.9243060505584937,0.030725024782744217,190
mit_rauschen,zwischencluster_ausreisser,20,False,dbscan,0.624725436991847,0.11191792416882236,2.9,2.9,0.7880689256524123,0.078625,0.015489750903127387,0.078625,0.015489750903127387,0.7941492446845276,0.21462379140170013,190
mit_rauschen,zwischencluster_ausreisser,20,False,hierarchisch,0.5700562907899462,0.030386832570721226,3.0,3.0,0.0,,,0.0,0.0,0.997489430855654,0.0028354801421347038,190
mit_rauschen,zwischencluster_ausreisser,20,False,kmeans,0.6406763759207432,0.002747286697842052,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,20,False,rtkm,0.6565262178415134,0.017994968273503237,3.0,3.0,0.0,,,0.16658333333333333,0.00025649458802128684,0.8614617246286572,0.04575068004479767,190
mit_rauschen,zwischencluster_ausreisser,30,False,dbscan,0.34635414106879214,0.22488071851977112,2.4,2.4,1.046296727561194,0.04988461538461538,0.014742204945821047,0.04988461538461538,0.014742204945821047,0.4182483403547816,0.41183094463479014,190
mit_rauschen,zwischencluster_ausreisser,30,False,hierarchisch,0.5251387642517769,0.035584741397146874,3.0,3.0,0.0,,,0.0,0.0,0.9937638980112599,0.0061717818372919375,190
mit_rauschen,zwischencluster_ausreisser,30,False,kmeans,0.6023628353963675,0.003553437602860262,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen,zwischencluster_ausreisser,30,False,rtkm,0.6259662026473135,0.017972611872900463,3.0,3.0,0.0,,,0.2306153846153846,0.0004024218182927666,0.8018316742338292,0.07241230311479233,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,dbscan,0.7383830371442363,0.0008412213092021028,3.0,3.0,0.0,0.010825246325045805,0.0025318361120350006,0.010825246325045805,0.0025318361120350006,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,hierarchisch,0.7179897603061243,0.005716498039694508,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,kmeans,0.7189805329200072,0.00513512613308341,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,10,True,rtkm,0.6643538019628213,0.127822192118272,3.0,3.0,0.0,,,0.0904593234232621,0.00041643562000412003,0.7943780248768696,0.24955226876986233,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,dbscan,0.7353374607474178,0.0012481973216352108,3.0,3.0,0.0,0.025138910899598733,0.0035367601311066866,0.025138910899598733,0.0035367601311066866,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,hierarchisch,0.6881751101014,0.006867308431647015,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,kmeans,0.6916228571316585,0.006342499729681466,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,20,True,rtkm,0.6336990667746819,0.11893140071658645,3.0,3.0,0.0,,,0.16660121583178755,0.0006794408088185409,0.6803826739758317,0.24027917408908617,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,dbscan,0.7319503854488256,0.0016018415316492775,3.0,3.0,0.0,0.04192814532955773,0.005841857812695682,0.04192814532955773,0.005841857812695682,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,hierarchisch,0.6550341079116608,0.012027457464722047,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,kmeans,0.6611923915735564,0.010365806171382061,3.0,3.0,0.0,,,0.0,0.0,1.0,0.0,190
mit_rauschen_und_vorverarbeitung,ausreisser,30,True,rtkm,0.6439132401428618,0.07427299311896372,3.0,3.0,0.0,,,0.23040775993416082,0.0007066828516764472,0.7165604066767021,0.1709637913216297,190
mit_rauschen_und_vorverarbeitung,irrelevante_merkmale,10,True,dbscan,0.6577439805413324,0.0013264728128608942,3.0,3.0,0.0,0.00195,0.0017312909694943341,0.00195,0.0017312909694943341,0.9941696037936311,0.0034991751410694085,190
